ID,numero_sap,type,statut,urgence,date_creation,date_previsionnelle,date_livraison_reelle,date_modification,montant_total,devise,score_priorite,company_code,purchasing_org,purchasing_group,marqueur_suppression,statut_approbation,date_commande,postes_en_retard,createdAt,updatedAt,fournisseur_ID,manager_ID
a1000001-0001-0001-0001-000000000001,4500001001,NB,EN_COURS,HAUTE,2025-04-10T08:00:00Z,2025-05-15,,2025-04-15T10:00:00Z,125000.00,EUR,92,1000,1000,010,false,X,2025-04-10,0,2025-04-10T08:00:00Z,2025-04-15T10:00:00Z,f1000001-0001-0001-0001-000000000001,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000002,4500001002,NB,EN_ATTENTE,NORMALE,2025-04-12T09:00:00Z,2025-05-20,,2025-04-12T09:00:00Z,47500.00,EUR,55,1000,1000,010,false,,2025-04-12,0,2025-04-12T09:00:00Z,2025-04-12T09:00:00Z,f1000001-0001-0001-0001-000000000002,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000003,4500001003,NB,LIVRE,NORMALE,2025-03-01T07:30:00Z,2025-04-01,2025-03-28,2025-03-28T14:00:00Z,23800.00,EUR,30,1000,1000,020,false,X,2025-03-01,0,2025-03-01T07:30:00Z,2025-03-28T14:00:00Z,f1000001-0001-0001-0001-000000000003,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000004,4500001004,NB,BLOQUE,CRITIQUE,2025-04-05T11:00:00Z,2025-04-25,,2025-04-22T16:00:00Z,310000.00,EUR,98,1000,1000,010,false,X,2025-04-05,2,2025-04-05T11:00:00Z,2025-04-22T16:00:00Z,f1000001-0001-0001-0001-000000000001,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000005,4500001005,NB,EN_LIVRAISON,HAUTE,2025-04-18T08:00:00Z,2025-05-10,,2025-04-25T09:00:00Z,89500.00,EUR,85,1000,1000,030,false,X,2025-04-18,0,2025-04-18T08:00:00Z,2025-04-25T09:00:00Z,f1000001-0001-0001-0001-000000000002,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000006,4500001006,NB,EN_COURS,NORMALE,2025-04-20T10:00:00Z,2025-05-25,,2025-04-20T10:00:00Z,15200.00,EUR,48,1000,1000,020,false,X,2025-04-20,0,2025-04-20T10:00:00Z,2025-04-20T10:00:00Z,f1000001-0001-0001-0001-000000000004,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000007,4500001007,NB,ANNULE,NORMALE,2025-03-15T08:00:00Z,2025-04-15,,2025-03-20T11:00:00Z,8900.00,EUR,10,1000,1000,010,true,R,2025-03-15,0,2025-03-15T08:00:00Z,2025-03-20T11:00:00Z,f1000001-0001-0001-0001-000000000003,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000008,4500001008,NB,EN_COURS,CRITIQUE,2025-04-28T07:00:00Z,2025-05-08,,2025-04-28T07:00:00Z,450000.00,EUR,99,1000,1000,010,false,X,2025-04-28,1,2025-04-28T07:00:00Z,2025-04-28T07:00:00Z,f1000001-0001-0001-0001-000000000001,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000009,4500001009,NB,EN_ATTENTE,HAUTE,2025-04-30T09:00:00Z,2025-06-01,,2025-04-30T09:00:00Z,67000.00,EUR,70,1000,1000,020,false,,2025-04-30,0,2025-04-30T09:00:00Z,2025-04-30T09:00:00Z,f1000001-0001-0001-0001-000000000002,u1000001-0001-0001-0001-000000000003
a1000001-0001-0001-0001-000000000010,4500001010,NB,LIVRE,NORMALE,2025-02-10T08:00:00Z,2025-03-10,2025-03-08,2025-03-08T12:00:00Z,34700.00,EUR,35,1000,1000,030,false,X,2025-02-10,0,2025-02-10T08:00:00Z,2025-03-08T12:00:00Z,f1000001-0001-0001-0001-000000000004,u1000001-0001-0001-0001-000000000003
