"id","commande_id","numero_poste","code_produit","designation_produit","quantite_commandee","quantite_livree","prix_unitaire","unite","poids_total","categorie_article","plant"
"0478b02c-b312-44c9-9717-adbc9e4e88ce","95031c05-7256-48a9-9a23-1628fd009b56","10","ESSENCE SUPER SP","ESSENCE SUPER SP","4980.000","0.000","9452.87","M3","830.000","L004","P100"
"08243528-4a53-4458-be5a-195cc1137c07","48694f99-9dc0-469d-8c1c-eb46bfef976b","10","GASOIL01","Gasoil","6000.000","0.000","10340.00","TO","830.000","L004","P100"
"0aeea2dd-2f59-480d-824e-bdeedfd60c5f","dc5f62fc-e6ca-471c-a6b9-47f25f662a43","10","3000048","ARTICLE TEST 1","3.000","0.000","5.00","KGM",,"ZPFDND","S003"
"0d50c194-af7e-4da3-adc5-249df45d90b0","f75087d8-7709-4eea-a54b-d860d7c6fcba","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"0d73a0ce-d2d0-43f3-bf31-16c522704cb4","b29c4d22-cbc2-4c04-908a-d0a4de160073","10","3000048","ARTICLE TEST 1","33.000","0.000","20.00","KGM",,"ZPFDND","S003"
"14420754-0344-4662-8283-2b1f8a4930f1","ef57a290-ee1a-4ed2-8000-f4b3a505927c","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"15e56d7f-96f2-4cf8-993b-25d2c1ecf9b1","34e7a438-c8df-40ef-bad1-b0c36199f22a","10","GASOIL01","Gasoil PPM","300000.000","0.000","100.00","M3","1000.000","L004","P100"
"169a8ef4-2adf-4e54-bac5-99c8a824e6f4","a195786e-d69c-4822-9d9a-fab7ec0c2db1","10","3000048","ARTICLE TEST 1","11.000","0.000","33.00","KGM",,"ZPFDND","S003"
"20670d92-111a-407c-b56b-74024de47b4a","1ccf5029-17aa-4f85-b64c-68dccb8b3404","10","TEST 1","Test 1 mat prem","1.000","0.000","100.00","EA",,"YBMM01","P100"
"214a611c-e21e-4399-834a-6107cb32eb70","b58293f5-8eb4-44d4-8054-a835ca876d8d","10","TEST 1","Test 1 mat prem","1.000","0.000","1000.00","EA",,"YBMM01","P100"
"33255d37-62d8-4b66-82f4-6434f6d98795","1489195d-751d-4868-aae8-9034f9ebdd37","10","3000048","ARTICLE TEST 1","77.000","0.000","6.00","KGM",,"ZPFDND","S003"
"370d37ff-133c-490e-94fa-dfc25cd42f7e","3af68892-8e16-4005-a39b-42e8bd2375f3","10","GASOIL01","Gasoil PPM","300000.000","0.000","100.00","M3","1000.000","L004","P100"
"3b638509-3401-4535-9633-3a10df3ca104","c0a010cd-94f5-476b-841e-5874cd0ced14","10","3000048","ARTICLE TEST 1","33.000","0.000","20.00","KGM",,"ZPFDND","S003"
"3fb3fad3-503d-436b-9748-7ace3b12f64f","d6cc8e30-907a-40be-ad5a-bab1576ac7a5","10","TEST 1","Test 1 mat prem","12.000","0.000","120.00","EA",,"YBMM01","P100"
"4231e1fc-4eb5-4f51-a87e-b487da0f4770","985d43b1-5ffd-4e5f-b983-48a1cd22a15d","10","GASOIL","Gasoil","100000000.000","0.000","12.00","L",,"YBMM01","P100"
"478f94b5-1525-45a9-8ce4-bbd823dc3807","73ffa149-97d8-4673-8822-3cf21d5f16c2","10","GASOIL01","Gasoil PPM","100000.000","0.000","100.00","M3","1000.000","L004","P100"
"4838b6da-1313-4a63-97d6-339bf7b564c4","5536a4eb-1795-41b7-b97f-eaefe2291431","10","3000048","ARTICLE TEST 1","5.000","0.000","5.00","KGM",,"ZPFDND","S003"
"5ae6a21c-d700-41cc-aeda-79e0db7761dd","6de5c9a5-511a-4158-9fa6-2711381691a7","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"5d4cf6e3-b729-401b-9281-413af55140f8","ee6642d3-75a1-4d78-9e02-a12f61a352af","10","3000048","ARTICLE TEST 1","4.000","0.000","5.00","KGM",,"ZPFDND","S003"
"6db824eb-2bbc-40d2-9bd5-169027100f5d","a403690d-3f01-4ff1-aa02-baf44a263ab8","10","TEST 1","Test 1 mat prem","1.000","0.000","1000.00","EA",,"YBMM01","P100"
"746647a9-9959-4ea4-b151-e9ddb1fa5e86","27c53d5d-5040-445f-92f3-cabdb3a798a8","10","TEST 2","Test 1 mat prem","2.000","0.000","300.00","EA",,"YBMM01","P100"
"77f5b58e-71d3-461b-9720-505be4545b05","a71d2ad4-b33c-46ac-a1e0-aaeff7b1c82b","10","ESSENCE SUPER SP","ESSENCE SUPER SP","4980.000","0.000","9452.87","M3","830.000","L004","P100"
"7e7f78e4-4f31-492c-ab83-8bc20d67bc5e","0765be5b-7f6f-429d-9652-58b28527578b","10","GASOIL01","Gasoil PPM","100000.000","0.000","100.00","M3","1000.000","L004","P100"
"7ecd9114-ac02-4ea4-a20d-f1138fc743b5","6a164838-2e7e-4247-be0d-c4828f5e2d44","10","3000048","ARTICLE TEST 1","6.000","0.000","5.00","KGM",,"ZPFDND","S003"
"7f8f0001-2293-4a9a-b1bc-bd5d1f868c31","83484e03-690b-4ada-b71a-f3effda9c95c","10","TEST 2","Test 1 mat prem","1.000","0.000","200.00","EA",,"YBMM01","P100"
"89a3bfcf-dadd-4f21-ac3d-6e20a632380a","6684738e-a6e0-4353-a626-3996bcf0338e","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"8bdeb99d-19a2-4829-b259-e162ee081409","69f162a1-cbde-4ed2-9e62-10dcd74ca178","10","TEST 2","Test 1 mat prem","1.000","0.000","300.00","EA",,"YBMM01","P100"
"8c9b169f-218b-4d25-b749-f511126c3f26","e27e788f-d991-4004-bf0c-23b5c057f33b","10","TEST 1","Test 1 mat prem","2.000","0.000","120.00","EA",,"YBMM01","P100"
"8f01f67e-4d47-4552-af58-3a600ae2ebb4","2e4b2711-7548-4132-87f1-8cd30f672a05","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"9126786a-6ede-4259-a5c9-4777230c6a6a","346fd643-fa6c-4aa5-8723-81189c58ec62","10","3000048","ARTICLE TEST 1","55.000","0.000","66.00","KGM",,"ZPFDND","S004"
"969499af-846d-4d36-95ef-909b1e45654b","2835dd4a-7922-40e8-a153-2797c21c671a","10","3000048","ARTICLE TEST 1","6.000","0.000","5.00","KGM",,"ZPFDND","S003"
